1,Arua Hub,cphl-arua1@hpeprint.com,,,,1,1
3,Aber Hub,cphl-aber1@hpeprint.com,,,,1,7
4,Abim Hub,cphl-abim@hpeprint.com,,,,1,22
5,Adjumani Hub,cphl-adjumani@hpeprint.com,,,,1,1
6,Kalongo Hub,cphl-agago@hpeprint.com,,,,1,7
8,Amuru Hub,cphl-amuru@hpeprint.com,,,,1,7
9,Atutur Hub,cphl-atutur@hpeprint.com,,,,1,1
10,Buliisa Hub,cphl-buliisa@hpeprint.com,,,,1,5
11,Bushenyi Hub,cphl-busheyi@hpeprint.com,,,,1,13
12,Buyinja Hub,cphl-buyinja@hpeprint.com,,,,1,2
14,Entebbe Hub,cphl-entebbe@hpeprint.com,,,,1,3
15,Fort Portal Hub,cphl-fortportal@hpeprint.com,,,,1,1
16,Gombe Hub,cphl-gombe@hpeprint.com,,,,1,3
17,Gulu Hub,cphl-gulu@hpeprint.com,,,,1,7
18,Hoima Hub,cphl-hoima@hpeprint.com,,,,1,5
19,Iganga Hub,cphl-iganga@hpeprint.com,,,,1,2
20,Itojo Hub,cphl-itojo@hpeprint.com,,,,1,13
21,Jinja Hub,cphl-jinja@hpeprint.com,,,,1,12
22,Kaabong Hub,cphl-kaabongo@hpeprint.com,,,,1,16
23,Kabale Hub,cphl-kabale@hpeprint.com,,,,1,13
24,Kagadi Hub,cphl-kagadi@hpeprint.com,,,,1,5
25,Kagando Hub,cphl-kagando@hpeprint.com,,,,1,1
26,CPHL Hub,cphl-kampala@hpeprint.com,,,,1,0
27,Kanungu Hub,cphl-kanungu@hpeprint.com,,,,1,13
28,Kassanda Hub,cphl-kassanda@hpeprint.com,,,,1,3
29,Kawolo Hub,cphl-kawalo@hpeprint.com,,,,1,3
30,Kayunga Hub,cphl-kayunga1@hpeprint.com,,,,1,15
31,Kidera Hub,cphl-kidera@hpeprint.com,,,,1,2
32,Kiryandongo Hub,cphl-kiryadongo@hpeprint.com,,,,1,5
33,Kisoro Hub,cphl-kisoro@hpeprint.com,,,,1,13
34,Kitagata Hub,cphl-kitagata@hpeprint.com,,,,1,13
35,Kotido Hub,cphl-kotido@hpeprint.com,,,,1,16
36,Lira Hub,cphl-lira@hpeprint.com,,,,1,7
37,Luwero Hub,cphl-luwero@hpeprint.com,,,,1,3
38,Lwala Hub,cphl-lwala@hpeprint.com,,,,1,0
39,Lyantonde Hub,cphl-lyantonde@hpeprint.com,,,,1,3
41,Masaka Hub,cphl-masaka@hpeprint.com,,,,1,3
42,Masindi Hub,cphl-masindi@hpeprint.com,,,,1,5
43,Mbale Hub,cphl-mbale@hpeprint.com,,,,1,9
44,Mbarara Hub,cphl-mbarara@hpeprint.com,,,,1,12
45,Mitooma Hub,cphl-mitooma@hpeprint.com,,,,1,13
46,Mityana Hub,cphl-mityana@hpeprint.com,,,,1,3
47,Moyo Hub,cphl-moyo@hpeprint.com,,,,1,1
