"1","Specimen sent to CPHL Laboratory was  less than 0.75ml","1","2","2014-07-19 16:30:42","samuel@trailanalytics.com"
"2","Specimen sent to CPHL was haemolysed","2","2","2014-07-19 16:32:35","samuel@trailanalytics.com"
"4","Mismatching Specimen identifiers on request form and sample","4","2","2014-07-19 16:33:05","samuel@trailanalytics.com"
"5","Well labeled DBS card without any blood spots","5","1","2014-07-19 16:33:10","samuel@trailanalytics.com"
"7","Blood spots were collected onto a dirty/soiled DBS card,compromising the specimen integrity","11","1","2014-07-19 16:33:51","samuel@trailanalytics.com"
"8","Sample not recieved at CPHL Lab(only the request form was recieved at the testing Lab)","8","2","2014-07-19 16:33:57","samuel@trailanalytics.com"
"9","All Dry Blood Spots on the card were less than the required size i.e not filling the perforated area","9","1","2014-07-19 16:34:03","samuel@trailanalytics.com"
"10","DBS sample sent on wrong Card","12","1","2014-07-19 16:34:09","samuel@trailanalytics.com"
"14","Patient has been on ARVs for less than 6 months(doesn't qualify for Viral Load testing as per Algorithm)","13","2","2014-07-19 16:33:00","samuel@trailanalytics.com"
"59","Dry Blood sample sent with less than 2 spots","10","1","2015-03-18 14:13:35","joseph.kibirige@yahoo.com"
"60","DBS Sample older than 3 weeks,VL test can't be done on DBS older than 3 weeks.","6","1","2015-03-18 14:15:07","joseph.kibirige@yahoo.com"
"61","Mismatching ART number between sample and form","4","1","2015-03-20 14:27:23","joseph.kibirige@yahoo.com"
"62","Well labeled cryo viral container without any sample in it was sent to CPHL Lab","5","2","2015-03-20 14:29:30","joseph.kibirige@yahoo.com"
"63","Sample not recieved at CPHL Lab(only the request form was recieved at the testing Lab)","8","1","2015-03-20 14:30:16","joseph.kibirige@yahoo.com"
"64","Patient has been on ARVs for less than 6 months(doesn't qualify for Viral Load testing as per Algorithm)","13","1","2015-03-20 14:30:47","joseph.kibirige@yahoo.com"
"65","Patient had viral load results above 1000cp/ml in less than 6 months ago (Refer to testing Algorithm)","14","1","2015-03-20 14:31:09","joseph.kibirige@yahoo.com"
"67","Patient has wrong date of treatment initiation i.e date earlier than ART role out","16","1","2015-05-26 13:25:39","joseph.kibirige@yahoo.com"
"68","Patient has wrong date of treatment initiation i.e date earlier than ART role out","17","2","2015-05-26 13:26:09","joseph.kibirige@yahoo.com"
"69","Patient's date of treatment initiation not included on the form thus failed to determine VL testing eligibility","24","1","2015-06-08 13:46:35","joseph.kibirige@yahoo.com"
"70","Patient's date of treatment initiation not included on the form thus failed to determine VL testing eligibility","25","2","2015-06-08 13:47:16","joseph.kibirige@yahoo.com"
"71","Sample was sent in wrong container thus compromising the sample integrity","26","2","2015-06-08 13:47:45","joseph.kibirige@yahoo.com"
"72","Wrong sample type was sent to CPHL-Laboratories,Only Plasma and Dried Blood Spots(DBS) are required","27","1","2015-06-08 13:47:51","joseph.kibirige@yahoo.com"
"74","DBS sample was sent on non-perforated card(not able to get the right spot size during sample processing)","26","1","2015-06-18 11:44:34","joseph.kibirige@yahoo.com"
"75","DBS sample was wet and or had moulds thus compromising with the sample integrity","27","1","2015-07-14 15:24:10","joseph.kibirige@yahoo.com"
"76","Sample was sent in a damaged container","28","2","2015-07-29 14:58:15","joseph.kibirige@yahoo.com"
"77","Patient has not yet been initiated on ART(doesn't qualify for Viral Load testing as per Algorithm)","29","1","2015-08-06 10:29:31","joseph.kibirige@yahoo.com"
"78","Patient has not yet been initiated on ART(doesn't qualify for Viral Load testing as per Algorithm)","30","2","2015-08-06 10:29:40","joseph.kibirige@yahoo.com"
"79","Patient's dispatch form sent without patient's identifications(ART number or Other number)","31","1","2015-09-29 14:22:10","joseph.kibirige@yahoo.com"
"80","Patient's dispatch form sent without patient's identification(ART number or Other number)","32","2","2015-09-29 14:22:42","joseph.kibirige@yahoo.com"
"81","Two forms were sent for the same sample(only dispatched results for one form)","33","1","2015-10-21 09:31:10","joseph.kibirige@yahoo.com"
"82","Two forms were sent for the same sample(only dispatched results for one form)","34","2","2015-10-21 09:31:18","joseph.kibirige@yahoo.com"
"83","Recieved an empty DBS card","35","1","2015-10-21 11:35:06","joseph.kibirige@yahoo.com"
"84","Sample was delivered under wrong storage container thus compromising the sample integrity","36","2","2015-11-02 14:09:08","joseph.kibirige@yahoo.com"
"85","DBS card with presence of serum rings i.e improper drying(affecting the specimen integrity)","37","1","2015-11-30 17:29:36","joseph.kibirige@yahoo.com"
"86","DBS Card without ART and form number details(DBS card cannot be linked to request form)","37","1","2015-12-29 15:10:34","joseph.kibirige@yahoo.com"
"87","Patient has wrong date of treatment initiation i.e date is beyond the current calender date.","38","2","2016-01-15 21:01:00","joseph.kibirige@yahoo.com"
"88","Patient has wrong date of treatment initiation i.e date is beyond the current calendar date","39","1","2016-01-15 21:03:10","joseph.kibirige@yahoo.com"
"89","Patient had viral load results less than 1000cp/ml or Not Detected in less than 12 months ago.Refer to testing algorithm.","40","1","2016-02-05 10:53:59","joseph.kibirige@yahoo.com"
"90","Plasma sample container without ART and form number details (sample cannot be linked to request form)","41","2","2016-02-12 12:48:44","joseph.kibirige@yahoo.com"
"91","Patient had viral load results less than 1000cp/ml or Not Detected in less than 12 months ago.Refer to testing algorithm.","42","2","2016-02-12 12:50:10","joseph.kibirige@yahoo.com"
"93","Wrong sample type sent to CPHL-Laboratories,Only Plasma and Dried Blood Spots(DBS) are required","44","2","2016-03-21 13:21:14","joseph.kibirige@yahoo.com"
"95","ART Number details are shared by different patients from the same facility.","46","2","2016-05-02 14:06:35","miriamnabukenya@yahoo.com"
"96","ART Number details are shared by different patients from the same facility.","47","1","2016-05-02 14:10:55","miriamnabukenya@yahoo.com"
"101","Patient had viral load results above 1000cp/ml in less than 6 months ago (Refer to testing Algorithm)","47","2","2016-05-03 11:28:46","joseph.kibirige@yahoo.com"
