"1","Abim","UG.AI","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"2","Adjumani","UG.AD","14","2014-07-14 11:02:44","samuel@trailanalytics.com"
"3","Amolatar","UG.AT","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"4","Amuria","UG.AM","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"5","Amuru","UG.KQ","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"6","Apac","UG.AC","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"7","Arua","UG.AW","14","2014-07-14 11:02:44","samuel@trailanalytics.com"
"8","Budaka","UG.BD","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"9","Bududa",,"9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"10","Bugiri","UG.BG","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"11","Buikwe",,"6","2014-07-14 11:02:44","samuel@trailanalytics.com"
"12","Bukedea",,"12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"13","Bukwo","UG.BW","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"14","Buliisa","UG.BL","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"15","Bundibugyo","UG.BN","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"16","Bushenyi","UG.BS","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"17","Busia","UG.BU","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"18","Butaleja","UG.BJ","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"19","Buvuma",,"6","2014-07-14 11:02:44","samuel@trailanalytics.com"
"20","Buyende",,"7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"22","Dokolo","UG.DO","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"23","Gulu","UG.GL","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"24","Hoima","UG.HO","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"25","Ibanda","UG.IB","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"26","Iganga","UG.IN","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"27","Isingiro","UG.IS","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"28","Jinja","UG.JI","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"29","Kaabong","UG.AB","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"30","Kabale","UG.KA","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"31","Kabarole","UG.BR","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"32","Kaberamaido","UG.KD","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"33","Kalangala","UG.KN","5","2014-07-14 11:02:44","samuel@trailanalytics.com"
"34","Kaliro","UG.RO","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"35","Kampala","UG.KM","8","2014-07-14 11:02:44","samuel@trailanalytics.com"
"36","Kamuli","UG.KX","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"37","Kamwenge","UG.KE","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"38","Kanungu","UG.UU","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"39","Kapchorwa","UG.KP","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"40","Kasese","UG.KS","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"41","Katakwi","UG.KK","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"42","Kayunga","UG.KY","6","2014-07-14 11:02:44","samuel@trailanalytics.com"
"43","Kibaale","UG.KI","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"44","Kiboga","UG.KG","6","2014-07-14 11:02:44","samuel@trailanalytics.com"
"45","Kiruhura","UG.KH","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"46","Kisoro","UG.KR","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"47","Kitgum","UG.TG","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"48","Koboko","UG.OK","14","2014-07-14 11:02:44","samuel@trailanalytics.com"
"49","Kotido","UG.KF","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"50","Kumi","UG.KU","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
"51","Kyegegwa",,"11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"52","Kyenjojo","UG.KJ","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"53","Lamwo",,"10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"54","Lira","UG.LI","10","2014-07-14 11:02:44","samuel@trailanalytics.com"
"56","Lyantonde",,"5","2014-07-14 11:02:44","samuel@trailanalytics.com"
"57","Manafwa","UG.MF","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"58","Maracha-Terego","UG.MH","14","2014-07-14 11:02:44","samuel@trailanalytics.com"
"59","Masaka","UG.MA","5","2014-07-14 11:02:44","samuel@trailanalytics.com"
"60","Masindi","UG.MC","11","2014-07-14 11:02:44","samuel@trailanalytics.com"
"61","Mayuge","UG.MG","7","2014-07-14 11:02:44","samuel@trailanalytics.com"
"62","Mbale","UG.ME","9","2014-07-14 11:02:44","samuel@trailanalytics.com"
"63","Mbarara","UG.RR","13","2014-07-14 11:02:44","samuel@trailanalytics.com"
"64","Mityana","UG.TY","6","2014-07-14 11:02:44","samuel@trailanalytics.com"
"65","Moroto","UG.MT","12","2014-07-14 11:02:44","samuel@trailanalytics.com"
