"1","Baylor","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"2","Star EC","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"3","Mildmay","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"4","UPHSP","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"5","IDI","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"6","RTI","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"7","ASSIST","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"8","RHSP","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"9","Star E","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"10","UCMB","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"11","UHMG","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"12","TASO","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"13","Star SW","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"14","REACHOUT","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"15","Walter Reed","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"16","CUAMM","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"17","UPMB","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"18","Uganda Cares","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"19","AIC","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"20","MJAP","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"21","IRCU","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"22","SUSTAIN","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"23","CAFU","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"24","SPEAR","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"25","No Facility Not Trained","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"26","MRC","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"27","KCBHC","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
"28","Facility Left Blank","2015-12-06 19:08:14","admin: samuel@trailanalytics.com"
